date,entry_time,spot_price,atm,ce_strike,pe_strike,expiry,entry_ce,entry_pe,exit_time,exit_spot_price,exit_ce,exit_pe,exit_reason,pnl
2025-03-12,2025-03-12 09:15:00,22855.0,22850,22950,22750,2025-03-13,3.15,219.75,2025-03-12 09:16:00,22609.4,3.2,215.1,SL,-4.600000000000005
2025-03-13,2025-03-13 09:15:00,22544.3,22550,22650,22450,2025-03-20,88.05,127.25,2025-03-13 09:18:00,22530.0,81.8,127.8,SL,-5.700000000000003
2025-03-17,2025-03-17 09:15:00,22811.25,22800,22900,22700,2025-03-20,14.4,226.15,2025-03-17 09:18:00,22827.9,14.25,214.85,SL,-11.450000000000012
2025-03-18,2025-03-18 09:15:00,22918.0,22900,23000,22800,2025-03-20,6.9,211.75,2025-03-18 09:16:00,22943.0,9.25,197.55,SL,-11.849999999999989
2025-03-19,2025-03-19 09:15:00,23051.3,23050,23150,22950,2025-03-20,7.15,131.9,2025-03-19 09:16:00,23189.05,9.05,116.25,SL,-13.750000000000005
2025-03-20,2025-03-20 09:15:00,23299.0,23300,23400,23200,2025-03-27,33.2,243.55,2025-03-20 09:17:00,23301.5,33.1,235.75,SL,-7.900000000000013
2025-03-21,2025-03-21 09:15:00,23455.0,23450,23550,23350,2025-03-27,20.65,224.55,2025-03-21 09:16:00,23469.0,24.25,215.0,SL,-5.95000000000001
2025-03-24,2025-03-24 09:15:00,23485.7,23500,23600,23400,2025-03-27,73.45,86.8,2025-03-24 09:25:00,23506.2,83.4,80.35,Target,3.5
2025-03-25,2025-03-25 09:15:00,24048.0,24050,24150,23950,2025-03-27,27.55,241.0,2025-03-25 09:25:00,23980.0,24.2,302.55,Target,58.20000000000001
2025-03-26,2025-03-26 09:15:00,23692.85,23700,23800,23600,2025-03-27,59.1,66.65,2025-03-26 09:16:00,23989.35,58.5,56.45,SL,-10.800000000000004
2025-03-27,2025-03-27 09:15:00,23758.7,23750,23850,23650,2025-04-03,53.6,237.8,2025-03-27 09:18:00,23775.4,55.95,227.45,SL,-8.000000000000021
2025-03-28,2025-03-28 09:15:00,23895.0,23900,24000,23800,2025-04-03,50.0,239.35,2025-03-28 09:21:00,24029.75,47.15,235.3,SL,-6.899999999999984
2025-04-01,2025-04-01 09:15:00,23675.0,23700,23800,23600,2025-04-03,14.25,205.3,2025-04-01 09:21:00,23790.0,17.45,188.0,SL,-14.100000000000012
2025-04-02,2025-04-02 09:15:00,23335.15,23350,23450,23250,2025-04-03,21.85,112.5,2025-04-02 09:16:00,23455.0,22.2,107.5,SL,-4.650000000000002
2025-04-03,2025-04-03 09:15:00,23507.0,23500,23600,23400,2025-04-09,38.2,282.65,2025-04-03 09:16:00,23512.7,37.3,275.45,SL,-8.099999999999994
2025-04-04,2025-04-04 09:15:00,23416.75,23400,23500,23300,2025-04-09,34.45,276.05,2025-04-04 09:25:00,23331.8,21.85,323.2,Target,34.549999999999976
2025-04-07,2025-04-07 09:15:00,22389.25,22400,22500,22300,2025-04-09,129.9,305.75,2025-04-07 09:21:00,22398.2,91.2,322.0,SL,-22.450000000000003
2025-04-08,2025-04-08 09:15:00,22815.0,22800,22900,22700,2025-04-09,47.9,254.1,2025-04-08 09:20:00,22710.0,40.7,242.55,SL,-18.74999999999998
2025-04-09,2025-04-09 09:15:00,22479.95,22500,22600,22400,2025-04-17,236.25,293.6,2025-04-09 09:25:00,22495.1,241.1,290.25,Target,1.4999999999999716
2025-04-11,2025-04-11 09:15:00,23028.65,23050,23150,22950,2025-04-17,92.1,325.65,2025-04-11 09:17:00,23049.95,100.65,305.5,SL,-11.599999999999966
2025-04-15,2025-04-15 09:15:00,23531.5,23550,23650,23450,2025-04-17,48.25,255.25,2025-04-15 09:17:00,23529.0,42.3,252.0,SL,-9.200000000000003
2025-04-16,2025-04-16 09:15:00,23500.0,23500,23600,23400,2025-04-17,7.7,162.4,2025-04-16 09:16:00,23298.0,6.65,157.45,SL,-6.000000000000017
2025-04-17,2025-04-17 09:15:00,23631.7,23650,23750,23550,2025-04-24,59.4,266.25,2025-04-17 09:25:00,23360.4,56.0,301.5,Target,31.85
2025-04-21,2025-04-21 09:15:00,24175.0,24200,24300,24100,2025-04-24,49.0,240.1,2025-04-21 09:25:00,24157.7,50.5,269.85,Target,31.25000000000003
2025-04-22,2025-04-22 09:15:00,24270.0,24250,24350,24150,2025-04-24,40.6,114.9,2025-04-22 09:25:00,24140.5,42.6,117.95,Target,5.049999999999997
2025-04-23,2025-04-23 09:15:00,24525.0,24500,24600,24400,2025-04-24,13.7,160.0,2025-04-23 09:16:00,24437.9,16.75,145.9,SL,-11.049999999999994
2025-04-24,2025-04-24 09:15:00,24262.3,24250,24350,24150,2025-04-30,170.05,123.75,2025-04-24 09:25:00,24526.6,180.95,125.0,Target,12.149999999999977
2025-04-25,2025-04-25 09:15:00,24479.7,24500,24600,24400,2025-04-30,81.4,195.75,2025-04-25 09:17:00,24703.2,80.45,190.35,SL,-6.3500000000000085
2025-04-28,2025-04-28 09:15:00,24328.3,24350,24450,24250,2025-04-30,39.1,214.0,2025-04-28 09:16:00,24338.0,36.05,202.45,SL,-14.600000000000016
2025-04-29,2025-04-29 09:15:00,24644.3,24650,24750,24550,2025-04-30,12.0,167.05,2025-04-29 09:18:00,24769.2,11.35,160.6,SL,-7.100000000000017
2025-04-30,2025-04-30 09:15:00,24609.7,24600,24700,24500,2025-05-08,66.5,343.7,2025-04-30 09:18:00,24620.0,69.95,328.95,SL,-11.299999999999997
2025-05-02,2025-05-02 09:15:00,24750.0,24750,24850,24650,2025-05-08,53.4,311.8,2025-05-02 09:18:00,24620.0,49.45,307.3,SL,-8.449999999999996
2025-05-05,2025-05-05 09:15:00,24755.0,24750,24850,24650,2025-05-08,26.55,265.15,2025-05-05 09:25:00,24500.1,20.75,275.25,Target,4.300000000000022
2025-05-06,2025-05-06 09:15:00,24785.0,24800,24900,24700,2025-05-08,8.6,265.75,2025-05-06 09:16:00,24670.0,8.95,251.1,SL,-14.300000000000006
2025-05-07,2025-05-07 09:15:00,24660.0,24650,24750,24550,2025-05-08,5.1,233.9,2025-05-07 09:17:00,24449.0,6.4,215.2,SL,-17.400000000000016
2025-05-08,2025-05-08 09:15:00,24509.5,24500,24600,24400,2025-05-15,134.2,190.5,2025-05-08 09:25:00,24480.0,122.2,200.25,Target,-2.249999999999986
2025-05-09,2025-05-09 09:15:00,24380.0,24400,24500,24300,2025-05-15,91.0,379.4,2025-05-09 09:17:00,24380.9,84.85,363.65,SL,-21.900000000000006
2025-05-12,2025-05-12 09:15:00,24676.0,24700,24800,24600,2025-05-15,43.3,194.7,2025-05-12 09:16:00,24850.0,49.55,172.4,SL,-16.049999999999983
2025-05-13,2025-05-13 09:15:00,25263.9,25250,25350,25150,2025-05-15,49.85,300.45,2025-05-13 09:25:00,24882.4,28.85,418.85,Target,97.40000000000003
2025-05-14,2025-05-14 09:15:00,24930.9,24950,25050,24850,2025-05-15,15.45,299.35,2025-05-14 09:16:00,24930.8,14.15,285.4,SL,-15.250000000000044
2025-05-15,2025-05-15 09:15:00,24960.0,24950,25050,24850,2025-05-22,70.65,311.4,2025-05-15 09:25:00,24695.9,70.4,324.75,Target,13.100000000000023
2025-05-16,2025-05-16 09:15:00,25318.0,25300,25400,25200,2025-05-22,62.1,286.4,2025-05-16 09:25:00,25069.8,63.05,296.0,Target,10.550000000000018
2025-05-19,2025-05-19 09:15:00,25143.0,25150,25250,25050,2025-05-22,67.0,210.3,2025-05-19 09:24:00,25208.0,90.45,180.2,SL,-6.65000000000002
2025-05-20,2025-05-20 09:15:00,25154.0,25150,25250,25050,2025-05-22,52.6,169.4,2025-05-20 09:25:00,25121.8,44.75,190.55,Target,13.300000000000004
2025-05-21,2025-05-21 09:15:00,25044.1,25050,25150,24950,2025-05-22,17.4,251.85,2025-05-21 09:25:00,24770.2,15.75,267.9,Target,14.399999999999984
2025-05-22,2025-05-22 09:15:00,24990.0,25000,25100,24900,2025-05-29,90.0,315.4,2025-05-22 09:25:00,24651.6,72.45,378.35,Target,45.40000000000005
2025-05-23,2025-05-23 09:15:00,24680.0,24700,24800,24600,2025-05-29,137.4,160.55,2025-05-23 09:25:00,24735.8,161.65,135.3,Target,-1.0
